<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.16	17:15:00	2039.08	2040.25	2038.16	2039.05	1470	0	5
2024.01.16	17:30:00	2038.96	2041.41	2038.52	2041.05	1540	0	5
2024.01.16	17:45:00	2041.03	2042.04	2040.53	2041.18	1428	0	5
2024.01.16	18:00:00	2041.18	2041.33	2032.55	2035.82	2901	0	5
2024.01.16	18:15:00	2035.92	2040.44	2034.44	2036.78	2435	0	5
2024.01.16	18:30:00	2036.72	2037.42	2032.54	2034.25	1834	0	6
2024.01.16	18:45:00	2034.26	2035.98	2033.42	2033.47	1634	0	5
2024.01.16	19:00:00	2033.46	2033.77	2025.38	2026.64	1964	0	5
2024.01.16	19:15:00	2026.62	2028.74	2026.19	2026.37	1563	0	5
2024.01.16	19:30:00	2026.20	2029.04	2025.62	2027.14	1480	0	5
2024.01.16	19:45:00	2027.05	2027.50	2024.98	2025.32	1213	0	5
2024.01.16	20:00:00	2025.32	2026.97	2024.73	2025.74	1331	0	5
2024.01.16	20:15:00	2025.67	2027.51	2025.19	2026.80	1302	0	5
2024.01.16	20:30:00	2026.88	2028.93	2026.09	2026.16	1005	0	5
2024.01.16	20:45:00	2026.16	2026.29	2024.28	2025.15	1007	0	5
2024.01.16	21:00:00	2025.24	2026.90	2025.00	2026.90	901	0	5
2024.01.16	21:15:00	2026.82	2028.56	2026.56	2027.65	720	0	5
2024.01.16	21:30:00	2027.71	2027.80	2026.89	2027.30	603	0	5
2024.01.16	21:45:00	2027.32	2030.18	2027.29	2029.31	729	0	5
2024.01.16	22:00:00	2029.33	2029.81	2028.44	2029.57	614	0	5
2024.01.16	22:15:00	2029.56	2029.69	2028.26	2028.27	572	0	5
2024.01.16	22:30:00	2028.32	2028.88	2027.85	2028.64	567	0	5
2024.01.16	22:45:00	2028.65	2029.09	2028.05	2028.28	666	0	5
2024.01.16	23:00:00	2028.31	2028.40	2027.20	2027.26	389	0	5
2024.01.16	23:15:00	2027.24	2028.02	2027.24	2027.97	177	0	5
2024.01.16	23:30:00	2027.98	2028.21	2027.56	2027.92	192	0	5
2024.01.16	23:45:00	2027.94	2028.52	2027.60	2028.22	256	0	5
2024.01.17	01:00:00	2028.23	2028.31	2027.35	2027.60	271	0	5
2024.01.17	01:15:00	2027.58	2027.70	2025.96	2027.04	549	0	5
2024.01.17	01:30:00	2027.08	2027.14	2026.21	2026.48	467	0	5
2024.01.17	01:45:00	2026.48	2028.35	2026.35	2028.15	402	0	5
2024.01.17	02:00:00	2028.20	2028.21	2025.79	2026.04	674	0	5
2024.01.17	02:15:00	2026.07	2027.34	2025.66	2027.23	437	0	5
2024.01.17	02:30:00	2027.21	2028.16	2027.01	2028.05	489	0	5
2024.01.17	02:45:00	2027.97	2028.89	2027.75	2028.48	696	0	5
2024.01.17	03:00:00	2028.49	2028.57	2026.71	2027.51	964	0	5
2024.01.17	03:15:00	2027.47	2029.16	2027.36	2029.06	918	0	5
2024.01.17	03:30:00	2029.07	2030.71	2028.64	2030.30	1083	0	5
2024.01.17	03:45:00	2030.30	2030.83	2029.36	2030.30	793	0	5
2024.01.17	04:00:00	2030.29	2032.96	2029.88	2031.62	944	0	5
2024.01.17	04:15:00	2031.59	2031.71	2029.34	2029.99	731	0	5
2024.01.17	04:30:00	2029.92	2030.13	2027.01	2028.43	944	0	5
2024.01.17	04:45:00	2028.55	2029.43	2028.11	2028.92	848	0	5
2024.01.17	05:00:00	2028.91	2029.13	2027.48	2027.92	635	0	5
2024.01.17	05:15:00	2027.92	2027.92	2026.57	2026.83	739	0	5
2024.01.17	05:30:00	2026.82	2027.30	2024.13	2024.44	890	0	5
2024.01.17	05:45:00	2024.43	2024.60	2023.46	2024.09	706	0	5
2024.01.17	06:00:00	2024.04	2024.81	2023.37	2023.68	458	0	5
2024.01.17	06:15:00	2023.64	2024.91	2023.56	2024.69	651	0	5
2024.01.17	06:30:00	2024.71	2025.45	2023.83	2024.90	502	0	5
2024.01.17	06:45:00	2024.90	2025.88	2024.90	2025.47	383	0	5
